Inkomen,0,1.501,2.001,2.501,3.001,3.501,4.001,4.501,5.001,5.501,6.001,6.501
80000,0.205,0.215,0.230,0.240,0.250,0.260,0.270,0.280,0.290,0.300,0.305,0.315
81000,0.205,0.215,0.230,0.240,0.250,0.260,0.270,0.280,0.290,0.300,0.305,0.315
82000,0.205,0.215,0.230,0.240,0.250,0.260,0.270,0.280,0.290,0.300,0.305,0.315
83000,0.205,0.215,0.230,0.240,0.250,0.260,0.270,0.280,0.290,0.300,0.305,0.315
84000,0.205,0.215,0.230,0.240,0.250,0.260,0.270,0.280,0.290,0.300,0.310,0.315
85000,0.210,0.220,0.230,0.240,0.250,0.265,0.275,0.280,0.290,0.300,0.310,0.315
86000,0.210,0.220,0.230,0.240,0.255,0.265,0.275,0.285,0.290,0.300,0.310,0.315
87000,0.210,0.220,0.230,0.240,0.255,0.265,0.275,0.285,0.295,0.300,0.310,0.315
88000,0.210,0.220,0.230,0.245,0.255,0.265,0.275,0.285,0.295,0.300,0.310,0.320
89000,0.210,0.220,0.235,0.245,0.255,0.265,0.275,0.285,0.295,0.300,0.310,0.320
90000,0.210,0.220,0.235,0.245,0.255,0.265,0.275,0.285,0.295,0.300,0.310,0.320
91000,0.210,0.225,0.235,0.245,0.255,0.265,0.275,0.285,0.295,0.305,0.310,0.320
92000,0.210,0.225,0.235,0.245,0.255,0.265,0.275,0.285,0.295,0.305,0.310,0.320
93000,0.210,0.225,0.235,0.245,0.255,0.265,0.275,0.285,0.295,0.305,0.310,0.320
94000,0.215,0.225,0.235,0.245,0.255,0.265,0.275,0.285,0.295,0.305,0.310,0.320
95000,0.215,0.225,0.235,0.245,0.260,0.270,0.280,0.285,0.295,0.305,0.315,0.320
96000,0.215,0.225,0.235,0.245,0.260,0.270,0.280,0.285,0.295,0.305,0.315,0.320
97000,0.215,0.225,0.235,0.250,0.260,0.270,0.280,0.290,0.295,0.305,0.315,0.320
98000,0.215,0.225,0.240,0.250,0.260,0.270,0.280,0.290,0.295,0.305,0.315,0.320
99000,0.215,0.225,0.240,0.250,0.260,0.270,0.280,0.290,0.300,0.305,0.315,0.320
100000,0.215,0.230,0.240,0.250,0.260,0.270,0.280,0.290,0.300,0.305,0.315,0.325
101000,0.215,0.230,0.240,0.250,0.260,0.270,0.280,0.290,0.300,0.305,0.315,0.325
102000,0.215,0.230,0.240,0.250,0.260,0.270,0.280,0.290,0.300,0.310,0.315,0.325
103000,0.220,0.230,0.240,0.250,0.260,0.270,0.280,0.290,0.300,0.310,0.315,0.325
104000,0.220,0.230,0.240,0.250,0.265,0.275,0.280,0.290,0.300,0.310,0.315,0.325
105000,0.220,0.230,0.240,0.255,0.265,0.275,0.285,0.290,0.300,0.310,0.315,0.325
106000,0.220,0.230,0.240,0.255,0.265,0.275,0.285,0.295,0.300,0.310,0.320,0.325
107000,0.220,0.230,0.245,0.255,0.265,0.275,0.285,0.295,0.300,0.310,0.320,0.325
108000,0.220,0.230,0.245,0.255,0.265,0.275,0.285,0.295,0.305,0.310,0.320,0.325
109000,0.220,0.230,0.245,0.255,0.265,0.275,0.285,0.295,0.305,0.310,0.320,0.325
110000,0.220,0.230,0.245,0.255,0.265,0.275,0.285,0.295,0.305,0.310,0.320,0.330
111000,0.220,0.230,0.245,0.255,0.265,0.275,0.285,0.295,0.305,0.310,0.320,0.330
112000,0.220,0.230,0.245,0.255,0.265,0.275,0.285,0.295,0.305,0.315,0.320,0.330
113000,0.220,0.235,0.245,0.255,0.265,0.275,0.285,0.295,0.305,0.315,0.320,0.330
114000,0.220,0.235,0.245,0.255,0.265,0.275,0.285,0.295,0.305,0.315,0.320,0.330
115000,0.220,0.235,0.245,0.255,0.265,0.275,0.285,0.295,0.305,0.315,0.320,0.330
116000,0.220,0.235,0.245,0.255,0.265,0.275,0.290,0.295,0.305,0.315,0.320,0.330
117000,0.220,0.235,0.245,0.255,0.265,0.275,0.290,0.295,0.305,0.315,0.320,0.330
118000,0.220,0.235,0.245,0.255,0.265,0.280,0.290,0.295,0.305,0.315,0.320,0.330
119000,0.220,0.235,0.245,0.255,0.270,0.280,0.290,0.300,0.305,0.315,0.320,0.330
120000,0.220,0.235,0.245,0.255,0.270,0.280,0.290,0.300,0.305,0.315,0.325,0.330
121000,0.225,0.235,0.245,0.260,0.270,0.280,0.290,0.300,0.305,0.315,0.325,0.330
122000,0.225,0.235,0.245,0.260,0.270,0.280,0.290,0.300,0.310,0.315,0.325,0.330
123000,0.225,0.235,0.245,0.260,0.270,0.280,0.290,0.300,0.310,0.315,0.325,0.330
124000,0.225,0.235,0.245,0.260,0.270,0.280,0.290,0.300,0.310,0.315,0.325,0.330
125000,0.225,0.235,0.250,0.260,0.270,0.280,0.290,0.300,0.310,0.315,0.325,0.330
